	Unnamed: 0	ir_gravity	ir_spec_type	opt_gravity	opt_spec_type	order	rv	shortname	source_id	spec_id	RMS n=100	RMS n=200	RMS n=500	RMS n=1000
58	81		11.5		11.5	61	-24.68	2057-0252	697	4700	0.7389724133241253	0.7379476491354785	0.7335207051788323	0.7333098738743185
59	83		24.0			61	14.0	2254+3123	767	4884	0.9429664527939291	0.95689072625194	0.9573977630333822	0.9536597544598128
60	86		20.0		17.5	61	28.0	0423-0414	794	5005	0.8210938080449419	0.8216500697619934	0.8210580511459367	0.8199906265631058
61	87		11.0		10.0	61	6.0	0345+2540	825	5120	0.7740605226132928	0.7687299092558607	0.7670817398932911	0.7674284841901774
62	90				12.0	61	-37.35	0015+3516	844	5206	0.8126623920461793	0.8097676023588504	0.8085723279035345	0.8071176917662178
63	91				12.0	61	-37.35	0015+3516	844	5208	0.9504486575877428	0.9565153704046147	0.9552368151324903	0.955070028764287
64	92				12.0	61	-37.35	0015+3516	844	5219	0.9092843232877282	0.9106607156109794	0.9126402366564448	0.9128569750885906
65	93		11.0		10.5	61	52.37	0746+2000	119	5826	0.7170136476027079	0.7215751559458998	0.7218815794220822	0.7211349016922666
66	94		11.0		10.5	61	52.37	0746+2000	119	5836	0.7464503885012629	0.7427173962610092	0.7449467461633517	0.7460780932060902
67	95				11.0	61	-25.6	1658+7026	631	7200	0.837596387656236	0.833820998431116	0.8319290889612805	0.8393011404529015
68	98				13.0	61	-21.09	2104-1037	698	7402	0.794323484522829	0.7960113346632792	0.7953200830725906	0.7975445933059648
69	100		15.5		15.0	61	-39.85	1507-1627	775	7579	0.7686283464267777	0.7668464878009174	0.7641597611979734	0.7658383299886384
70	103				13.0	61	-0.68	1506+1321	778	7613	0.8283892200692591	0.8285039664302122	0.8313715722016706	0.8316912001319015
71	105				13.0	61	-0.68	1506+1321	778	7617	0.8172651097561832	0.8158718561630321	0.815684697153064	0.8149185764301335
